V1:, 8.00, V2:, -24.00, V3:, -13.00, V4:, 11.31
V1:, 8.00, V2:, 10.00, V3:, -13.00, V4:, 11.31
V1:, 8.00, V2:, 10.00, V3:, -13.00, V4:, 11.31
V1:, 8.00, V2:, 10.00, V3:, -13.00, V4:, 11.31
V1:, 8.00, V2:, -16.00, V3:, -13.00, V4:, 16.97
V1:, 8.00, V2:, -16.00, V3:, -13.00, V4:, 16.97
V1:, 8.00, V2:, -16.00, V3:, -13.00, V4:, 16.97
V1:, 8.00, V2:, -16.00, V3:, -13.00, V4:, 16.97
V1:, 3.00, V2:, -16.00, V3:, -13.00, V4:, 16.97
V1:, 3.00, V2:, -16.00, V3:, -13.00, V4:, 16.97
V1:, 3.00, V2:, 10.00, V3:, -13.00, V4:, 16.97
V1:, 3.00, V2:, 10.00, V3:, -13.00, V4:, 16.97
V1:, 3.00, V2:, 10.00, V3:, -13.00, V4:, 12.73
V1:, 3.00, V2:, 10.00, V3:, -13.00, V4:, 12.73
V1:, 3.00, V2:, 10.00, V3:, 7.00, V4:, 12.73
V1:, 3.00, V2:, 10.00, V3:, 7.00, V4:, 12.73
V1:, 3.00, V2:, 10.00, V3:, 7.00, V4:, 12.73
V1:, 3.00, V2:, 10.00, V3:, 7.00, V4:, 12.73
