x,y,z
46,17,17
-49,-68,-80
-24,-41,-166
-30,-14,-179
-66,-23,50
-95,-103,89
-4,-123,128
8,-63,50
18,147,-142
67,87,-171
76,62,-61
-50,-29,-27
-126,-76,110
-85,-155,103
-24,-143,89
45,-26,-53
31,147,-159
38,86,-2
79,38,36
116,-20,40
-150,-56,38
-130,-166,-1
-1,-193,77
3,-79,110
17,140,-128
40,169,-81
70,59,-46
116,0,10
-139,-80,-75
-109,-179,101
54,-194,108
20,-38,93
-22,133,-184
47,165,-76
131,95,-55
60,16,-22
-165,-38,26
-100,-127,61
-23,-168,77
32,-58,20
-1,192,-63
47,145,-59
109,104,-48
108,-42,-26
-91,17,-140
-163,-68,100
-104,-137,7
-11,-135,53
47,16,-81
-24,116,-129
63,32,-53
143,93,-64
17,19,-16
-122,-91,52
-111,-147,84
22,-177,28
35,-4,-24
4,176,-38
82,156,-22
120,81,-59
57,20,-26
7,-100,176
61,-34,129
