x,y,z
-47,-56,46
-52,32,13
-77,203,-21
50,112,-202
-79,-2,-158
-91,-45,47
86,-57,91
118,29,5
-44,-28,-124
-107,60,-43
-76,-93,37
39,-27,88
118,10,-3
64,129,-12
-54,35,-96
-96,-71,1
17,-126,70
98,-11,27
86,29,-101
9,47,-98
-109,-19,-37
-38,-130,82
88,-40,48
117,72,-30
-113,44,-72
-69,14,-51
-90,-83,17
83,-54,125
118,-32,-30
-13,-21,-86
-45,54,-79
-126,-88,34
-31,-115,38
117,-16,5
101,56,-59
-65,-24,-157
-36,4,-65
-64,-39,37
22,-86,76
97,-31,-34
26,14,-77
-29,4,-76
-80,-25,0
-65,-83,74
73,-17,51
83,28,-3
15,-17,-98
-70,13,-70
-121,-50,5
61,-150,90
116,3,23
17,4,-89
-50,43,-101
-124,-39,1
-51,-148,86
84,-32,43
109,2,-66
50,27,-111
-75,4,-77
-149,-99,61
67,-92,92
166,-53,-44
39,71,-116
-102,78,-50
-99,26,-11
-88,-83,76
-15,-64,65
-22,-37,58
70,-87,29
40,-13,57
72,-61,17
-18,7,30
