x,y,z
201,107,-66
231,137,-75
266,193,-88
288,206,-115
299,188,-125
311,158,-116
356,199,-119
374,207,-117
326,169,-130
259,41,-222
244,-20,-277
232,32,-335
215,106,-338
127,198,-363
-28,202,-526
-99,192,-630
-185,127,-734
-178,128,-730
-153,154,-703
-120,238,-625
-180,322,-534
-232,343,-498
-320,240,-469
-422,-48,-512
-486,-179,-516
-582,-233,-346
-633,-50,-43
-654,36,76
-719,45,233
-750,6,264
-750,-56,317
-717,-86,391
-694,-91,406
-634,-141,404
-604,-195,403
-582,-225,426
-551,-338,493
-561,-393,535
-542,-390,528
-470,-341,504
-453,-377,520
-445,-469,531
-404,-643,584
-298,-724,620
-195,-729,581
12,-741,449
116,-720,413
147,-663,436
189,-569,469
230,-479,389
276,-425,306
379,-391,162
450,-450,127
490,-433,146
501,-330,150
538,-265,55
550,-183,3
610,-162,-47
695,-143,-62
850,-70,-107
737,-55,-143
623,-33,-139
539,108,-91
505,171,-82
498,118,-139
538,-145,-336
486,-250,-425
555,-208,-573
761,286,-547
857,460,-464
691,291,-325
242,-222,-372
108,-340,-442
210,-129,-602
309,269,-547
265,315,-467
171,118,-426
261,-12,-420
351,-13,-543
367,63,-675
236,77,-600
138,4,-564
-128,-150,-552
-187,-184,-583
-196,-144,-575
-202,-68,-495
-224,-65,-460
-339,-149,-416
-480,-251,-440
-528,-247,-457
-624,-137,-421
-675,-13,-349
-650,14,-321
-561,59,-243
-458,129,-179
-430,155,-157
-474,157,-112
-551,71,-78
-537,36,-75
-449,47,-81
-427,73,-62
-357,70,-20
-279,49,71
-264,17,105
-395,-13,169
-481,1,212
-524,112,324
-465,184,420
-432,121,439
-423,-164,427
-421,-437,373
-408,-492,375
-373,-464,441
-330,-371,547
-324,-323,600
-299,-253,657
-306,-215,637
-305,-199,608
-287,-186,539
-256,-203,484
-252,-211,481
-245,-201,466
-207,-151,454
-158,-130,451
-57,-110,469
-43,-168,493
-62,-235,505
-115,-414,497
-107,-517,394
-24,-500,321
205,-285,224
366,-1,261
387,63,277
363,3,230
336,-81,180
339,-157,118
385,-122,122
480,15,164
511,76,171
511,44,166
441,-108,86
359,-218,4
227,-324,-168
327,-160,-185
456,-29,-152
672,30,-128
602,-24,-161
310,-224,-249
469,-42,-250
504,60,-240
418,122,-212
225,-115,-290
142,-215,-367
222,-71,-435
527,345,-322
582,409,-257
489,185,-234
217,-200,-409
71,-196,-351
248,230,-184
475,266,-294
452,104,-319
251,-230,-454
135,-181,-584
147,-40,-562
192,123,-515
156,45,-469
105,-38,-435
22,-136,-369
-45,-75,-351
-52,-5,-387
-70,19,-481
-139,-34,-499
-348,-189,-473
-530,-262,-401
-575,-219,-365
-466,11,-321
-285,160,-251
-239,205,-211
-223,264,-128
-286,268,-57
-300,279,-48
-298,296,-56
-293,226,-63
-280,168,-72
-235,80,-97
-257,2,-126
-308,-34,-129
-394,-82,-130
-409,-108,-122
-391,-138,-76
-454,-119,-2
-482,-105,53
-499,-118,105
-501,-193,122
-508,-235,136
-510,-269,180
-462,-250,224
-437,-249,238
-481,-292,271
-538,-301,310
-516,-283,319
-389,-255,330
-310,-293,333
-296,-332,326
-309,-424,294
-360,-497,269
-372,-507,268
-340,-479,250
-253,-420,234
-221,-427,229
-198,-489,212
-185,-518,271
-185,-509,311
-158,-464,318
-96,-422,283
-69,-409,271
15,-390,285
146,-328,306
208,-291,306
281,-262,298
276,-233,294
261,-205,295
250,-147,298
246,-148,276
244,-174,253
261,-203,211
341,-126,170
388,-75,160
400,-17,119
386,-23,74
360,-60,-5
378,-73,-41
347,-74,-60
289,-87,-111
295,-67,-116
433,36,-104
452,158,-108
411,141,-122
286,-10,-208
210,-83,-223
263,24,-181
503,264,-137
507,286,-148
350,127,-207
289,-22,-259
339,-7,-273
375,11,-316
266,-64,-346
219,-105,-348
247,-5,-316
262,62,-304
217,169,-263
316,183,-246
321,181,-257
190,42,-304
118,302,-158
196,381,-166
364,257,-287
235,5,-360
140,-69,-387
28,-45,-399
0,5,-408
1,37,-411
30,52,-401
54,39,-387
-10,-41,-363
-70,-103,-362
-182,-139,-408
-174,-69,-459
-152,-50,-476
-130,-66,-496
-57,-65,-454
-7,-32,-421
74,119,-354
106,206,-317
102,350,-250
-14,399,-181
-90,397,-163
-160,353,-191
-105,262,-242
-68,192,-264
-41,35,-302
-120,-93,-333
-185,-117,-335
-300,-42,-307
-388,45,-219
-417,71,-188
-423,42,-163
-406,-88,-166
-402,-142,-161
-396,-213,-119
-448,-243,-73
-483,-222,-52
-511,-170,-10
-535,-164,60
-555,-190,102
-574,-246,158
-539,-301,182
-526,-332,202
-536,-381,234
-485,-373,258
-450,-345,287
-397,-310,340
-392,-333,350
-396,-363,335
-390,-429,319
-362,-448,359
-338,-431,387
-283,-402,442
-216,-371,478
-168,-349,484
-73,-370,465
-12,-493,410
8,-532,385
62,-531,357
74,-502,357
63,-428,368
58,-380,359
71,-326,343
95,-331,319
120,-329,317
158,-341,289
216,-333,250
240,-321,231
276,-290,207
313,-217,226
356,-153,242
387,-101,222
353,-114,155
321,-149,120
260,-144,51
283,-113,18
363,-51,-53
373,-60,-85
379,-73,-88
519,-1,-70
565,22,-74
521,3,-114
426,1,-164
262,-37,-229
406,28,-215
464,52,-185
450,6,-142
404,-48,-151
378,-56,-172
508,99,-173
512,151,-183
391,106,-222
310,11,-256
207,-57,-313
273,75,-294
339,122,-279
362,135,-307
350,44,-285
274,221,-129
332,474,-118
413,383,-242
296,78,-412
80,-179,-462
17,-198,-455
-29,-90,-456
-62,16,-438
-51,39,-450
37,52,-433
38,19,-420
-98,-86,-433
-226,-107,-466
-246,-87,-480
-250,-34,-510
-240,-64,-544
-233,-95,-559
-165,-59,-573
-49,30,-547
-1,50,-529
-3,31,-495
-43,-11,-476
-175,-76,-430
-268,-18,-366
-267,52,-314
-241,197,-202
-244,248,-114
-268,228,-105
-343,140,-111
-413,42,-107
-438,-9,-96
-481,-135,-107
-448,-175,-118
-421,-193,-115
-395,-167,-58
-407,-177,19
-427,-208,73
-454,-183,109
-457,-140,140
-472,-71,182
-570,-77,291
-609,-94,320
-596,-159,281
-532,-217,215
-487,-243,212
-456,-276,287
-490,-327,372
-488,-356,369
-368,-351,343
-282,-340,419
-282,-338,474
-330,-352,547
-377,-388,528
-378,-382,511
-343,-362,467
-295,-480,414
-262,-578,390
-186,-686,372
