x,y,z
-57,-29,92
32,-78,101
155,-33,-7
51,109,-382
35,54,-177
0,63,97
-23,-74,312
-35,-88,147
-45,18,-142
21,35,-72
81,169,-223
-6,1,130
-12,-67,272
-22,-42,76
-22,-56,-129
6,58,-201
30,-7,-124
32,33,32
-78,-47,262
26,-59,182
-41,-20,-94
14,105,-211
42,48,-171
57,82,89
-114,-121,302
18,9,210
11,-40,-43
9,77,-211
13,51,-166
96,137,-9
-74,-11,197
-37,-7,234
3,14,78
-28,49,-159
2,29,-200
-7,-52,-170
0,-48,-6
-28,-39,214
4,-57,178
-5,-103,57
-9,38,-179
-15,124,-192
7,-9,-133
39,-9,91
9,-27,199
-20,-33,150
-13,-72,-24
11,65,-199
30,46,-138
-3,8,-111
-32,2,152
-17,0,215
-49,-59,124
-51,-51,-119
5,56,-174
21,83,-120
46,-7,56
-26,-57,180
-29,16,188
-20,-61,57
-21,22,4
-2,90,-226
5,55,-170
14,-30,45
-26,-13,169
-22,-1,138
-37,-56,92
-24,-12,-13
20,20,-21
0,0,-8
